,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,-0.01691870882740448,0.1638758444275866,0.049734059378167834,-0.1691870882740448,-1.1161981353131065,0.2643373325084948,True
rain,-0.10121034255599472,0.442022259837603,0.0003938020154250667,-1.0121034255599473,-3.7454648540506463,0.00018006005499238142,True
soilMoist,-1.0775248164878601,0.3657856948269318,0.0017435341151411296,-10.775248164878601,-3.249376793911488,0.0011565816777279192,True
temp,0.05053338038772822,0.259585902273328,0.01098815985148646,0.5053338038772822,2.4804403006957925,0.013122023533042482,True
