,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,-0.006995473367212496,0.04474818505388294,0.3210585563406476,-0.06995473367212496,0.12402201503478961,0.9012978441563575,False
rain,-0.08289846132128739,0.3589696803492359,0.0019763432575464275,-0.828984613212874,-2.50524470370275,0.012236670124007976,True
soilMoist,-1.102567828910219,0.4098406458123771,0.0007533048547486729,-11.02567828910219,-3.3982032119532355,0.0006783001556172064,True
temp,0.06204078674948241,0.16681552047457562,0.04753926799274598,0.6204078674948241,1.5130685834244333,0.13026223878322818,True
