,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,-0.02611036137775269,0.3180623324017056,0.004100252250870519,-0.2611036137775269,-2.50524470370275,0.012236670124007976,True
rain,-0.1173187276491624,0.4461381443172187,0.00036158059626807394,-1.173187276491624,-3.894291272092394,9.848625298358726e-05,True
soilMoist,-0.8281214097496707,0.1934016915960597,0.03152481687475527,-8.281214097496708,-1.1658069413270225,0.24369251012790505,True
temp,0.00296861001317524,0.0014505458235526683,0.8597551484515542,0.0296861001317524,0.27284843307653717,0.7849697273207377,False
