,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,-0.01530296442687747,0.17432128216084786,0.042355197746080236,-0.1530296442687747,-1.5626773894383492,0.11812849523841984,True
rain,-0.08404305947675512,0.34953786174415213,0.0023463181416201895,-0.8404305947675512,-2.5548535097166662,0.010623249592075945,True
soilMoist,-0.6968894927536238,0.26505007451566304,0.010046024343204429,-6.968894927536238,-2.0091566435635917,0.044520524087646285,True
temp,0.010446790890269179,0.00882797584484061,0.6623354903865957,0.10446790890269178,-0.12402201503478961,0.9012978441563575,False
