,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,0.012533074534161495,0.09195987629107638,0.14973173240590046,0.12533074534161495,1.612286195452265,0.10689967587922089,False
rain,-0.09691229531338229,0.43287156489693596,0.00047514361944299264,-0.9691229531338229,-3.1005503758697404,0.0019316135357636544,True
soilMoist,-1.4716887304724269,0.5822186873022215,1.4504186407762109e-05,-14.716887304724269,-4.737640974328963,2.1622043797631108e-06,True
temp,0.09369575098814234,0.2549655981122948,0.011849198661401163,0.9369575098814233,2.6540711217444977,0.007952706286745492,True
