,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,-0.03012723508375682,0.5311132297142643,5.372020186103552e-05,-0.3012723508375682,-3.5966384360088988,0.0003223560606209208,True
rain,-0.10870885563711649,0.40353156325250833,0.0008522938502749065,-1.087088556371165,-3.3982032119532355,0.0006783001556172064,True
soilMoist,-0.9220645115753806,0.22734054112804283,0.01848621928457917,-9.220645115753806,-1.5626773894383492,0.11812849523841984,True
temp,0.03623474496517981,0.20284592364242784,0.027206467791024265,0.3623474496517981,2.4060270916749187,0.01612706871178249,True
