,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,-0.012017179559570868,0.09764162988087076,0.1371167313799053,-0.12017179559570867,-0.5705012691600322,0.5683377615538607,False
rain,-0.09016829474872955,0.36351424393397913,0.0018181290127624948,-0.9016829474872955,-2.5548535097166662,0.010623249592075945,True
soilMoist,-1.0292401891586678,0.33236480985615574,0.003190120321789172,-10.292401891586678,-2.8028975397862452,0.005064575627610424,True
temp,0.038397906079427835,0.11888014740314345,0.09894440845808657,0.38397906079427835,1.265024553354854,0.20586252630799207,False
