,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,0.00138577075098814,0.0010667120131830823,0.8795798942558588,0.013857707509881401,0.322457239090453,0.7471063273347309,False
rain,-0.11742073216638435,0.4474244015650226,0.00035202083274951304,-1.1742073216638436,-3.249376793911488,0.0011565816777279192,True
soilMoist,-1.311838739883305,0.5201751374250159,6.985575704325164e-05,-13.118387398833049,-4.588814556287216,4.457702062587998e-06,True
temp,0.07369511104837194,0.23251384133518466,0.01702206765248758,0.7369511104837194,1.8107214195079284,0.0701839854914923,True
