,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,-0.026626021080368913,0.38594592379943393,0.0011952623644558248,-0.2662602108036891,-3.2989855999254036,0.0009703488881898092,True
rain,-0.08738538019951066,0.3388032662690207,0.002845245751750498,-0.8738538019951065,-2.8028975397862452,0.005064575627610424,True
soilMoist,-0.8953289996235649,0.2405878007226475,0.01495489457527974,-8.95328999623565,-1.612286195452265,0.10689967587922089,True
temp,0.02125553359683795,0.0620264516789963,0.2405678418732524,0.2125553359683795,0.8681541052435273,0.3853099749909059,False
