,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,0.001668882928665537,0.003034432203114241,0.7982202213183321,0.016688829286655372,0.22323962706262132,0.823349012100195,False
rain,-0.08414776491624316,0.43173549441481357,0.00048625756665636655,-0.8414776491624316,-3.1005503758697404,0.0019316135357636544,True
soilMoist,-1.050778378505552,0.5324091014557362,5.205456730391001e-05,-10.50778378505552,-4.5392057502733,5.646651761281873e-06,True
temp,0.08308549783549783,0.2276813134322566,0.018386202010814524,0.8308549783549783,2.257200673633171,0.02399553835367718,True
