,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,-0.008283883869753437,0.02675462227277372,0.44504221673074984,-0.08283883869753436,0,1.0,False
rain,-0.1001168831168831,0.4286291004565558,0.0005178828049524617,-1.001168831168831,-3.199767987897572,0.0013753825612259352,True
soilMoist,-1.2941777715038596,0.44060127922222325,0.0004055269578251956,-12.941777715038596,-4.092726496148058,4.2633047408591196e-05,True
temp,0.05594431112365889,0.2431042268257054,0.014360872561645078,0.559443111236589,1.959547837549676,0.05004866332140967,True
