,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,-0.02347781385281385,0.332701602933596,0.0031711562867531066,-0.2347781385281385,-2.4556358976888344,0.014063556708352909,True
rain,-0.08561211180124223,0.3685712479114098,0.001655932602635061,-0.8561211180124223,-2.8028975397862452,0.005064575627610424,True
soilMoist,-0.9475995859213251,0.2700572877769263,0.009249973917822972,-9.475995859213251,-2.306809479647087,0.021065443548514473,True
temp,0.030827084509693226,0.07850301479504451,0.18481146755079908,0.30827084509693226,1.0169805232852749,0.30916269487358283,False
