,slope,r_squared,p_value,trend_per_decade,mk_z,mk_p_value,significant
evap,-0.033431394692264256,0.6779906757070531,7.73569259026623e-07,-0.33431394692264255,-4.439988138245468,8.996383622950077e-06,True
rain,-0.08763426501035199,0.3552807153982053,0.002114068026476241,-0.8763426501035199,-2.703679927758414,0.006857630965628081,True
soilMoist,-0.6802743553547901,0.16411451208848093,0.049552234195082395,-6.8027435535479,-0.9177629112574431,0.35874300337869447,True
temp,0.022679371353284423,0.0555805738311025,0.26741800522232,0.22679371353284422,1.0665893292991906,0.28615732110495795,False
